FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
UPS M A;Unternehmensplanspiel;1006;Unternehmensplanspiel;Klein, Torsten;111c8dcf-738f-4870-9851-fb1ef0349b75;;
UPS M A;Unternehmensplanspiel;1006;Unternehmensplanspiel;Linden, Markus;111c8dcf-738f-4870-9851-fb1ef0349b75;;
KOA M C;Angewandte Konstruktion;1011;Angewandte Konstruktion oder industrielle Projektarbeit Konstruktion;Wellendorf, Axel;;;
FMT M A;Fertigungsmesstechnik;1014;Fertigungsmesstechnik;Müller, Lutz;;;
FP M;Fabrikplanung ;1017;Fabrikplanung;Münster, Thomas;878b5af5-0587-4b08-8b47-2e040d5799b4;;
KUF M;Kommunikation und Führung;1019;Kommunikation und Führung;Palmer, Carolin;66cdf64a-a164-46b1-a654-0c95564b563c;;
STL M;Strömungslehre;1024;Strömungslehre;Anders, Denis;f88e64e6-8344-4b7f-ad9a-8499fed4196f;;
SWK M;Spezielle Gebiete der Werkstoffkunde Metalle;1025;Spezielle Werkstoffkunde der Metalle;Katrakova-Krüger, Danka;;;
SR1 M;Steuer- und Regelungstechnik (Automatisierungssysteme) ;1026;Steuer- und Regelungstechnik;Kandil, Amr;03fa8ca0-4979-4514-a0aa-b0d2e73e07f8;;
SR1 M;Steuer- und Regelungstechnik (Automatisierungssysteme) ;1026;Steuer- und Regelungstechnik;Zwanzig, Florian;03fa8ca0-4979-4514-a0aa-b0d2e73e07f8;;
TM1 M;Festigkeitslehre;1027;Technische Mechanik I und II;Walkowiak, Marcel;c285df00-5cc3-4e89-8c9e-e5915b581e5d;;
TM1 M;Festigkeitslehre;1027;Technische Mechanik I und II;Anders, Denis;c285df00-5cc3-4e89-8c9e-e5915b581e5d;;
TM2 M;Bewegungsanalyse dynamischer Systeme;1027;Technische Mechanik I und II;Walkowiak, Marcel;15769d73-a0b6-49a5-9b47-3e155a063e20;;
TM2 M;Bewegungsanalyse dynamischer Systeme;1027;Technische Mechanik I und II;Anders, Denis;15769d73-a0b6-49a5-9b47-3e155a063e20;;
MA1 BB;Mathematik 1 (ING);1030;Mathematik;Bartz-Beielstein, Thomas;be0ff3d9-f7f6-494c-acb9-520a92a4a1c6;;
MA1 BB;Mathematik 1 (ING);1030;Mathematik;Böhm-Rietig, Jürgen;be0ff3d9-f7f6-494c-acb9-520a92a4a1c6;;
MA2 BB;Mathematik 2 Gr. B (ING);1030;Mathematik;Böhm-Rietig, Jürgen;be0ff3d9-f7f6-494c-acb9-520a92a4a1c6;;
MA2 BB;Mathematik 2 Gr. B (ING);1030;Mathematik;Bartz-Beielstein, Thomas;be0ff3d9-f7f6-494c-acb9-520a92a4a1c6;;
IUG AI ITM MI WI V;Informatik und Gesellschaft;1039;Informatik, Recht und Gesellschaft;Bertelsmeier, Birgit;e3dc0278-cf5f-4296-a577-d88ad9c3e999;;
RE AI ITM MI WI V;Recht - Teilmodul von IRG;1039;Informatik, Recht und Gesellschaft;Bertelsmeier, Birgit;e3dc0278-cf5f-4296-a577-d88ad9c3e999;;
PP AI V;Paradigmen der Programmierung;1043;Paradigmen der Programmierung;Kohls, Christian;e37c5af9-6076-4f15-8c8b-d206b7091bc0;;
